brand,domain,email,email_source
GOOD AMERICAN,goodamerican.com,hello@goodamerican.com,fallback
Punchy Munchies,punchymunchies.com,hello@punchymunchies.com,fallback
Qidi Tech,qidi3d.com,hello@qidi3d.com,fallback
KETL Mtn Apparel,ketlmtn.com,hello@ketlmtn.com,fallback
Plushy Planet,plushyplanet.com,hello@plushyplanet.com,fallback
Feels So Good,fsgprints.com,hello@fsgprints.com,fallback
Gel Blaster,gelblaster.com,hello@gelblaster.com,fallback
Eklexic Jewelry,eklexic.com,hello@eklexic.com,fallback
GoplusUS,goplusus.com,hello@goplusus.com,fallback
Comrad,comradsocks.com,hello@comradsocks.com,fallback
tomboyx,tomboyx.com,hello@tomboyx.com,fallback
Encircled,encircled.co,hello@encircled.co,fallback
MARLII LAB,marliilab.com.au,hello@marliilab.com.au,fallback
Birthdate Co,birthdate.co,hello@birthdate.co,fallback
RegisBox,regisbox.com,hello@regisbox.com,fallback
Alias Tees,aliastees.com,hello@aliastees.com,fallback
Universal Standard,universalstandard.com,hello@universalstandard.com,fallback
12 Parsecs Designs,12parsecsdesigns.com,hello@12parsecsdesigns.com,fallback
The Skinny Confidential,theskinnyconfidential.com,hello@theskinnyconfidential.com,fallback
KeySmart,getkeysmart.com,hello@getkeysmart.com,fallback
Plantation Pride,plantationpridepecans.com,hello@plantationpridepecans.com,fallback
Shapellx,shapellx.com,hello@shapellx.com,fallback
Hari Mari,harimari.com,hello@harimari.com,fallback
Flower Knows,flowerknows.co,hello@flowerknows.co,fallback
Ash & Erie,ashanderie.com,hello@ashanderie.com,fallback
Ami Paris,amiparis.com,hello@amiparis.com,fallback
Rebecca Vallance,rebeccavallance.com,hello@rebeccavallance.com,fallback
Sugar Cubed Studios,sugarcubedstudios.com,hello@sugarcubedstudios.com,fallback
WORKPRO TOOLS,workprotools.store,hello@workprotools.store,fallback
Brother Ming Games,brotherminggames.com,hello@brotherminggames.com,fallback
