name,role,company,domain,category,notes,priority
Julie Bornstein,Founder & CEO,Daydream,daydream.ing,consumer-shopping,AI-powered chat-based shopping agent for fashion ($50M seed),1
Lisa Yamner Green,Co-Founder & Chief Commercial Officer,Daydream,daydream.ing,consumer-shopping,,2
Matt Fisher,Chief Technology Officer,Daydream,daydream.ing,consumer-shopping,,3
Dan Cary,Chief Product Officer,Daydream,daydream.ing,consumer-shopping,,4
Richard Kim,Chief Strategy Officer,Daydream,daydream.ing,consumer-shopping,,5
Phoebe Gates,Co-Founder & CEO,Phia,phia.com,consumer-shopping,AI shopping assistant finding best prices ($35M Series A),1
Sophia Kianni,Co-Founder & CEO,Phia,phia.com,consumer-shopping,,2
Carter Cote,Chief Product Officer,Phia,phia.com,consumer-shopping,,3
LJ Northington,Co-Founder & CEO,Aesthetic,myaesthetic.ai,consumer-shopping,FindGPT AI fashion discovery platform,1
Zach Hudson,Co-Founder & CEO,Onton,onton.com,consumer-shopping,AI product discovery engine for home/furniture (~$10M raised),1
Alexander Gunnarson,Co-Founder & CTO,Onton,onton.com,consumer-shopping,,2
Jenny Wang,Co-Founder & CEO,Alta,alta.ai,consumer-shopping,AI personal stylist and shopping companion ($11M seed),1
Tom Hoffen,Co-Founder & CTO,Alta,alta.ai,consumer-shopping,,2
Mor Shabtai,Co-Founder & COO,Alta,alta.ai,consumer-shopping,,3
Sam Atkinson,Co-Founder & CEO,Swap,swap.com,consumer-shopping,E-commerce operating system for brands ($40M Series B),1
Zach Bailet,Co-Founder & COO,Swap,swap.com,consumer-shopping,,2
Oron Bendavid,VP of Engineering,Swap,swap.com,consumer-shopping,,3
Maju Kuruvilla,Founder & CEO,Spangle AI,spangle.ai,consumer-shopping,Agentic commerce platform generating custom AI storefronts for retail brands,1
Fei Wang,Co-Founder & Chief AI Scientist,Spangle AI,spangle.ai,consumer-shopping,,2
Karen Moon,Chief Commercial Officer,Spangle AI,spangle.ai,consumer-shopping,,3
Jon Stanford,Co-Founder,Spangle AI,spangle.ai,consumer-shopping,,4
Yufeng Gou,Co-Founder & Head of Engineering,Spangle AI,spangle.ai,consumer-shopping,,5
Dorian Dargan,Co-Founder & CEO,Doji,doji.com,consumer-shopping,AI-powered fashion try-on app using diffusion models for personalized avatars ($14M),1
Jim Winkels,Co-Founder & CTO,Doji,doji.com,consumer-shopping,,2
Victoria Peppiatt,Co-Founder & Co-CEO,Hey Savi,heysavi.com,consumer-shopping,Fashion search and recommendation platform matching users with in-stock items at best prices,1
Sarah Daniel,Co-Founder & Co-CEO,Hey Savi,heysavi.com,consumer-shopping,,2
Angela Vinci,Co-Founder & CPTO,Hey Savi,heysavi.com,consumer-shopping,,3
Shlok Bhartiya,Founder & CEO,Shoppin,shoppin.app,consumer-shopping,AI-powered fashion search engine for women's clothing,1
Utsav Soi,Co-Founder & CTO,Shoppin,shoppin.app,consumer-shopping,,2
Nishant Agrawal,Senior AI/ML Engineer,Shoppin,shoppin.app,consumer-shopping,,3
Rishi Sharma,Founding Product Designer,Shoppin,shoppin.app,consumer-shopping,,4
Tamar Shachar,VP of Products,Karma,karmanow.com,consumer-shopping,Browser-based AI shopping assistant; 7M+ users; price tracking and cash-back across 100K retailers,1
Jonathan Friedman,Co-Founder & CEO,Karma,karmanow.com,consumer-shopping,,2
Omer Gazit,CTO,Karma,karmanow.com,consumer-shopping,,3
Joshua Pinchasi,Head of Sales & Partnerships,Karma,karmanow.com,consumer-shopping,,4
Naveen Ramasamy,VP of Product Management,Glance,glance.com,consumer-shopping,AI-native commerce platform; selfie-based visual discovery; InMobi subsidiary,1
Piyush Shah,Co-Founder & COO,Glance,glance.com,consumer-shopping,,2
Mohit Kumar,Co-Founder & CTO,Glance,glance.com,consumer-shopping,,3
Naveen Tewari,Founder & CEO,Glance,glance.com,consumer-shopping,InMobi parent CEO — per user note skip,4
Purva Gupta,Co-Founder & CEO,Lily AI,lily.ai,consumer-shopping,Retail AI bridging consumer/merchant language using NLP at scale ($71M),1
Sowmiya Chocka Narayanan,Co-Founder & CTO,Lily AI,lily.ai,consumer-shopping,technical co-founder; per user note ML lead is real buyer,2
Prashanth C,Head of Engineering — AI/ML,Lily AI,lily.ai,consumer-shopping,,3
Vimal Kohli,Chief Analytics Officer,Lily AI,lily.ai,consumer-shopping,,4
Rick Kjellberg,CFO,Lily AI,lily.ai,consumer-shopping,,5
Cheryl Liu,Founder & CEO,Raspberry AI,raspberry.ai,consumer-shopping,Generative AI platform for fashion design; reduces concept-to-market time 30-50% ($24M Series A from a16z),1
Fan Yang,Chief Technology Officer,Raspberry AI,raspberry.ai,consumer-shopping,,2
