brand,domain,email,email_source
Favorite Daughter,shopfavoritedaughter.com,hello@shopfavoritedaughter.com,https://shopfavoritedaughter.com
Picnic Time Family of Brands,picnictime.com,info@picnictime.com,https://picnictime.com/contact-us
GUDO,gudoworld.com,hello@gudoworld.com,fallback
myGemma,mygemma.com,contact@mygemma.com,https://mygemma.com
Ocean Bottle Store,oceanbottle.co,ahoy@oceanbottle.co,https://oceanbottle.co/contact
Beautyblender,beautyblender.com,customer.service@beautyblender.com,https://beautyblender.com
Graydon Skincare,graydonskincare.com,orders@graydonskincare.com,https://graydonskincare.com
GAMER SLEEVE,gamer-sleeve.com,hello@gamer-sleeve.com,fallback
Chess House,chesshouse.com,contact@chesshouse.com,https://chesshouse.com/contact
Vacation,vacation.inc,jobs@vacation.inc,https://vacation.inc
AYM,aym-studio.com,hello@aym-studio.com,fallback
The Woobles,thewoobles.com,hello@thewoobles.com,https://thewoobles.com/contact
Ride The Cowgirl,ridethecowgirl.com,hello@ridethecowgirl.com,fallback
Brooklyn Bicycle Co.,brooklynbicycleco.com,orders@brooklynbicycleco.com,https://brooklynbicycleco.com
ELOREA,elorea.com,hello@elorea.com,https://elorea.com/pages/contact-us
ESPRO,espro.com,hello@espro.com,fallback
Moon Pod,moonpod.co,cx@moonpod.co,https://moonpod.co
Verlye,verlye.com,hello@verlye.com,fallback
FARM Rio,farmrio.com,hello@farmrio.com,https://farmrio.com/pages/contact-us
Versine Skincare,versineskincare.com,hello@versineskincare.com,fallback
AceZone,acezone.io,support@acezone.io,https://acezone.io
AMAZINGCOSMETICS,amazingcosmetics.com,makeupartist@amazingcosmetics.com,https://amazingcosmetics.com/contact-us
GMWD Fitness,gmwdfitness.com,support@gmwdfitness.com,https://gmwdfitness.com
Whimsy & Row,whimsyandrow.com,info@whimsyandrow.com,https://whimsyandrow.com
Barebones B2B,b2b.barebonesliving.com,hello@b2b.barebonesliving.com,fallback
Olfactory NYC,olfactorynyc.com,hello@olfactorynyc.com,https://olfactorynyc.com
Babo Botanicals,babobotanicals.com,hello@babobotanicals.com,https://babobotanicals.com/contact
Sixth City Design,sixthcitydesign.com,info@sixthcitydesign.com,https://sixthcitydesign.com
Indie Lee,indielee.com,hello@indielee.com,https://indielee.com/contact
Dr. Brandt Skincare,drbrandtskincare.com,hello@drbrandtskincare.com,fallback
coofandy,coofandy.com,support@coofandy.com,https://coofandy.com/pages/contact-us
Orchid Republic,orchidrepublic.com,info@orchidrepublic.com,https://orchidrepublic.com/pages/contact-us
Branch Furniture,branchfurniture.com,sales@branchfurniture.com,https://branchfurniture.com
Helix Sleep,helixsleep.com,partnerships@helixsleep.com,https://helixsleep.com/contact-us
Fresh Sends,freshsends.com,hello@freshsends.com,https://freshsends.com
Props & Treasures,propstreasures.com,hello@propstreasures.com,fallback
Viking Culinary,vikingculinaryproducts.com,hello@vikingculinaryproducts.com,fallback
Kylie Cosmetics,kyliecosmetics.com,hello@kyliecosmetics.com,fallback
Uncommon James,uncommonjames.com,customerexperience@uncommonjames.com,https://uncommonjames.com/contact-us
Tymo Beauty,tymobeauty.com,hello@tymobeauty.com,fallback
Som Sleep,getsom.com,orders@getsom.com,https://getsom.com
SIMIHAZE BEAUTY,simihazebeauty.com,hello@simihazebeauty.com,fallback
Realcozy,realcozy.co,support@realcozy.co,https://realcozy.co
BUILT,builtny.com,customerservice@builtny.com,https://builtny.com
Rakuten Kobo,kobo.com,hello@kobo.com,fallback
Paleblue,paleblueearth.com,support@paleblueearth.com,https://paleblueearth.com
Fair Harbor,fairharborclothing.com,info@fairharborclothing.com,https://fairharborclothing.com
Modern Sprout,modernsprout.com,hello@modernsprout.com,fallback
The Period Company,period.co,hello@period.co,https://period.co/pages/contact
Vertical Grooves,verticalgrooves.com,support@verticalgrooves.com,https://verticalgrooves.com
AnaOno,anaono.com,cs@anaono.com,https://anaono.com
